,Unnamed: 0,City,Latitude,Longitude,Latitudedir,Longitudedir
0,0,Sydney,33.8727°,151.2057°,"S,",E
1,1,Melbourne,37.8136°,144.9631°,"S,",E
2,2,Brisbane,27.4705°,153.0260°,"S,",E
3,3,Perth,31.9514°,115.8617°,"S,",E
4,4,Adelaide,34.9285°,138.6007°,"S,",E
5,5,GoldCoast,27.9769°,153.3809°,"S,",E
6,6,Canberra,35.2802°,149.1310°,"S,",E
7,7,Newcastle,32.9283°,151.7817°,"S,",E
8,8,SunshineCoast,26.6528°,153.0896°,"S,",E
9,9,Wollongong,34.4248°,150.8931°,"S,",E
10,10,Hobart,42.8826°,147.3257°,"S,",E
11,11,Geelong,38.1493°,144.3598°,"S,",E
12,12,Townsville,19.2599°,146.8137°,"S,",E
13,13,Cairns,16.9203°,145.7710°,"S,",E
14,14,Toowoomba,27.5598°,151.9507°,"S,",E
15,15,Darwin,12.4637°,130.8444°,"S,",E
16,16,Ballarat,37.5622°,143.8503°,"S,",E
17,17,Bendigo,36.7596°,144.2786°,"S,",E
18,18,AlburyWodonga,36.1583°,146.8986°,"S,",E
19,19,Launceston,41.4391°,147.1358°,"S,",E
20,20,Mackay,21.1434°,149.1868°,"S,",E
21,21,Rockhampton,23.3786°,150.5089°,"S,",E
22,22,Bunbury,33.3270°,115.6408°,"S,",E
23,23,CoffsHarbour,30.2962°,153.1139°,"S,",E
24,24,HerveyBay,25.2882°,152.7677°,"S,",E
25,25,Mildura,34.2068°,142.1367°,"S,",E
26,26,Shepparton,36.3811°,145.3993°,"S,",E
27,27,Gladstone,23.8416°,151.2498°,"S,",E
28,28,Tamworth,31.0900°,150.9293°,"S,",E
29,29,Traralgon,38.1940°,146.5336°,"S,",E
30,30,Orange,33.2816°,149.0862°,"S,",E
31,31,Dubbo,32.2444°,148.6144°,"S,",E
32,32,Geraldton,28.7761°,114.6113°,"S,",E
33,33,NowraBomaderry,34.8871°,150.6005°,"S,",E
34,34,Bathurst,33.4112°,149.5787°,"S,",E
35,35,Warrnambool,38.3721°,142.4778°,"S,",E
36,36,Albany,35.0268°,117.8837°,"S,",E
37,37,KalgoorlieBoulder,30.7490°,121.4660°,"S,",E
38,38,Lismore,28.8094°,153.2879°,"S,",E
39,39,Armidale,30.5036°,151.6523°,"S,",E
40,40,Whyalla,33.0346°,137.5756°,"S,",E
41,41,PortMacquarie,31.4349°,152.9002°,"S,",E
42,42,Goulburn,34.7567°,149.7136°,"S,",E
43,43,Devonport,41.1801°,146.3503°,"S,",E
44,44,BrokenHill,31.9596°,141.4608°,"S,",E
45,45,PortAugusta,32.4936°,137.7743°,"S,",E
46,46,Sale,38.1051°,147.0680°,"S,",E
47,47,Maryborough,25.5385°,152.7034°,"S,",E
48,48,Emerald,23.5243°,148.1583°,"S,",E
49,49,Katherine,14.4520°,132.2699°,"S,",E
50,50,Bairnsdale,37.8366°,147.5994°,"S,",E
51,51,Singleton,32.5683°,151.1795°,"S,",E
52,52,Taree,31.9111°,152.4539°,"S,",E
53,53,Grafton,29.6815°,152.9381°,"S,",E
54,54,SwanHill,35.3403°,143.5441°,"S,",E
55,55,Griffith,34.2887°,146.0324°,"S,",E
56,56,AliceSprings,23.6980°,133.8807°,"S,",E
57,57,Echuca,36.1404°,144.7511°,"S,",E
58,58,Karratha,20.7337°,116.8447°,"S,",E
59,59,Queanbeyan,35.3515°,149.2330°,"S,",E
60,60,Morwell,38.2288°,146.4111°,"S,",E
61,61,Lithgow,33.4811°,150.1368°,"S,",E
62,62,Wangaratta,36.3649°,146.3149°,"S,",E
63,63,Horsham,36.7167°,142.1997°,"S,",E
64,64,Warwick,28.2138°,152.0307°,"S,",E
65,65,Busselton,33.6516°,115.3473°,"S,",E
66,66,Gympie,26.1836°,152.6624°,"S,",E
67,67,ForsterTuncurry,32.1976°,152.5263°,"S,",E
68,68,Kingaroy,26.5398°,151.8431°,"S,",E
69,69,Inverell,29.7739°,151.1114°,"S,",E
70,70,Parkes,33.1357°,148.1745°,"S,",E
71,71,Roma,26.5711°,148.7857°,"S,",E
72,72,MountIsa,20.7264°,139.4930°,"S,",E
73,73,Yass,34.8278°,148.9083°,"S,",E
74,74,Cooma,36.2346°,149.1270°,"S,",E
75,75,Bega,36.6743°,149.8432°,"S,",E
76,76,Narrabri,30.3205°,149.7820°,"S,",E
77,77,ChartersTowers,20.0770°,146.2601°,"S,",E
78,78,Goondiwindi,28.5424°,150.3013°,"S,",E
79,79,PortHedland,20.3111°,118.6094°,"S,",E
80,80,Esperance,33.8614°,121.8913°,"S,",E
81,81,Burnie,41.0549°,145.9044°,"S,",E
82,82,Bowen,20.0132°,148.2469°,"S,",E
83,83,Yeppoon,23.1335°,150.7374°,"S,",E
84,84,Atherton,17.2667°,145.4769°,"S,",E
85,85,MountBarker,35.0732°,138.8576°,"S,",E
86,86,VictorHarbor,35.5503°,138.6209°,"S,",E
87,87,MurrayBridge,35.1201°,139.2737°,"S,",E
88,88,StGeorge,28.0368°,148.5801°,"S,",E
89,89,Deniliquin,35.5347°,144.9488°,"S,",E
90,90,Nhulunbuy,12.1835°,136.7861°,"S,",E
91,91,Kununurra,15.7783°,128.7439°,"S,",E
92,92,Ceduna,32.1260°,133.6763°,"S,",E
